Time,NetworkLoad,Delay
1,0,1
13,0.0597167,0.440692419526
25,0.0352619,0.18566335422
34,0.0301332,0.814003027597
57,0.0198871,0.430767247337
67,0.0224014,0.039970547185
76,0.0216433,0.918921514387
86,0.0205755,0.947244131814
92,0.0204942,0.510710265311
133,0.0151315,0.824976249343
134,0.0159031,0.378039682333
212,0.0118042,0.211261366135
233,0.011832,0.579447930172
286,0.0105109,0.580868336053
309,0.0101215,0.252044017748
340,0.00956308,0.151262715672
360,0.00939036,0.588837062147
464,0.00782648,0.828667884035
467,0.00803511,0.298087444566
486,0.00797472,0.08966364335
491,0.00815998,0.802945753027
539,0.00766439,0.796760652824
540,0.00788201,0.797386303556
562,0.00779785,0.9478748968
648,0.00695504,0.987267568113
817,0.00596795,0.137263136665
946,0.0054229,0.932902459457
1211,0.00433537,0.030999683654
1267,0.00424406,0.524577159951
1409,0.00390538,0.687615756063
1564,0.00367814,0.709040056067
1639,0.0035862,0.776655130429
1797,0.0034784,0.196359220308
1935,0.00336042,0.716332529595
2032,0.00326093,0.371141739697
2050,0.00329361,0.577559618945
2138,0.00321685,0.81279034748
2475,0.00287925,0.399058079645
2571,0.00282025,0.302841703134
2586,0.00285236,0.417685995174
2656,0.0028238,0.006706967626
2742,0.00278162,0.789865729171
2783,0.00278513,0.364291202147
2811,0.00280209,0.600325919115
3010,0.00269972,0.429331764743
3095,0.0026663,0.825796594769
3129,0.002677,0.501771848545
3247,0.00261843,0.785997032338
3268,0.00264002,0.979957332949
3270,0.00267607,0.285579256397
3325,0.00270708,0.386493429422
3348,0.00272626,0.926444982756
3478,0.00266008,0.666135330914
3513,0.00266883,0.219613220041
3648,0.00260445,0.392360617099
3718,0.00258879,0.047712248804
4135,0.00238825,0.166514691158
4315,0.00231769,0.357949049689
4412,0.00229521,0.643185593517
4485,0.00228583,0.852776368027
4640,0.00226297,0.084233668984
5026,0.00211425,0.581627626966
5238,0.00205248,0.430729601196
5257,0.0020688,0.326776240893
5268,0.00208811,0.067473338112
5897,0.0019291,0.468967022015
6113,0.00188141,0.578671297595
6150,0.00189031,0.221266401427
6197,0.00189619,0.362589698175
6285,0.00188962,0.6727814547
6312,0.00190123,0.280651655825
6586,0.00184111,0.30416350489
6663,0.00183854,0.11669246263
6854,0.0018238,0.192133031152
6935,0.00182057,0.3625948955
7109,0.00179361,0.427924710148
7117,0.00180911,0.235680842509
7237,0.00179646,0.565358830956
7447,0.00177938,0.596518840529
8120,0.0016781,0.69173608927
8172,0.00168264,0.333031750518
8397,0.00165251,0.682188900714
8437,0.00165951,0.762566342048
9648,0.00146412,0.537230014776
9919,0.00143669,0.364285053793
10147,0.00141678,0.779660680105
10224,0.00143052,0.47061422736
10389,0.00141989,0.86089100142
10559,0.00140886,0.834960483347
10633,0.00141073,0.233004710996
10893,0.00138858,0.563802569434
10940,0.00139407,0.808932236489
11051,0.00139138,0.847544454284
11082,0.00139871,0.326200339468
11383,0.00137269,0.199150185171
11675,0.00135979,0.41547546412
11716,0.0013657,0.403964663667
12130,0.00133973,0.705583323391
12966,0.0012919,0.570836935849
12970,0.00130114,0.604408793569
12999,0.00130781,0.16535599104
13279,0.00128969,0.565602980352
13808,0.00124931,0.419337268539
14144,0.00122846,0.290485476515
14175,0.00123461,0.448618293023
15260,0.00115498,0.00550398875
16478,0.00109242,0.767218060404
16722,0.00108391,0.154598394937
18024,0.00101951,0.643568114483
18365,0.00101416,0.127264257439
18862,0.00101395,0.07572032386
18985,0.00101397,0.136567483736
20425,0.000966995,0.897723582202
20679,0.00096115,0.638481132906
20728,0.000964894,0.326973286125
21182,0.000956038,0.828731001836
22015,0.000936887,0.609622007964
22041,0.00094143,0.073315148413
22139,0.000942937,0.723276233671
22608,0.000928906,0.767155396489
22944,0.000920742,0.547739488879
23284,0.000912645,0.021754697918
24108,0.000891854,0.90277682442
