Time,NetworkLoad,Delay
1,0,1
8,0.062824,0.041254954342
64,0.0216675,0.540820667839
154,0.0146774,0.703451709413
194,0.0122444,0.03437044428
269,0.0107268,0.980012491019
400,0.00875911,0.415856111607
787,0.00603796,0.311025236937
834,0.00599771,0.348533701839
1472,0.00382218,0.326238070097
1776,0.00345013,0.705489330734
1844,0.00345772,0.298097052424
2398,0.0029196,0.411070443915
3311,0.00268094,0.594582447116
3983,0.00244804,0.222610119931
5767,0.00195091,0.464239002701
6785,0.0018241,0.830091638087
7249,0.00181062,0.112335201114
11862,0.00135941,0.234157896664
12164,0.00134622,0.3376017165
12805,0.00129839,0.636707008355
15289,0.00116099,0.30382770337
18689,0.00100327,0.203365075545
18727,0.00100793,0.470445179871
18801,0.00101059,0.104483675843
19883,0.000974483,0.660172378681
20129,0.000968764,0.266482848667
20991,0.000958752,0.177093200963
21740,0.000942994,0.74157980144
26718,0.000842132,0.096581581692
27443,0.000829013,0.728764897305
27464,0.000832923,0.466845979403
29942,0.000789034,0.342407516472
30754,0.000784463,0.462083378316
32865,0.000768309,0.632357173832
34922,0.00074452,0.15284811785
36353,0.000722105,0.941642967145
40016,0.000684103,0.110095119493
48382,0.000601985,0.372647135319
55015,0.000558945,0.627181767481
55894,0.00055239,0.547011447383
59400,0.000536624,0.883580603686
60654,0.000531711,0.768316983749
61852,0.000529498,0.991356526347
66749,0.000511249,0.739895233377
69881,0.000495488,0.413722436089
73877,0.000485611,0.923306872236
82467,0.000451697,0.26307066088
85097,0.000440677,0.753252692354
92924,0.000418353,0.035501289144
101368,0.000395837,0.523878690198
107031,0.000384238,0.972929059202
125134,0.00035462,0.15001491403
139052,0.000331712,0.69873572708
154434,0.000309194,0.299704102884
155882,0.000311134,0.466342446964
160962,0.000303644,0.382926762868
165126,0.000298259,0.923992050662
172299,0.000293821,0.174641344802
175327,0.00028946,0.716509664189
181555,0.000285039,0.922412960223
185838,0.000281832,0.096513335854
200939,0.000267494,0.059170252698
202764,0.000266936,0.126488398238
205474,0.000264633,0.997245544825
208900,0.000262087,0.285806757954
211709,0.000260382,0.779183869107
218849,0.000255885,0.996538262969
234718,0.000244975,0.362915628333
250965,0.000236587,0.208174041067
255901,0.000234954,0.158866622701
271814,0.000227637,0.176261850007
273482,0.000227621,0.567452453792
274967,0.000227755,0.577280761754
278585,0.000227041,0.748637992493
289935,0.000221602,0.837972372545
301066,0.000217145,0.174643359651
301979,0.000218145,0.58966339512
324778,0.000208219,0.289743802408
358943,0.000193624,0.381511026092
